id	engine_status	finalizer_status	cold_starts	suspensions	local_step_retries	replayed_delivered_tokens	replayed_dispatches	cumulative_fuel	resource_wait_ns	engine_ns	error_cluster	guard_status
1609.01918	accepted	complete	1	115	115	1820	1820	1570535	4013409948	9326341358	none	0
2606.04708	failed	not-run	0	0	0	0	0	0	0	0	macro-parameter-token	1
1901.05298	accepted	complete	1	215	215	8693	8693	1699222	3987521621	9839729899	none	0
2104.07258	accepted	complete	1	116	116	2915	2915	1004446	4118795998	7057216919	none	0
0901.0375	accepted	failed	1	65	65	1088	1088	750728	3349267001	3911875756	none	0
1803.04459	guard-timeout-or-rss	not-run	0	0	0	0	0	0	0	0	guard-timeout-or-rss	124
2109.12590	accepted	complete	1	91	91	950	950	1749428	3920674787	9515563481	none	0
2511.00922	failed	not-run	0	0	0	0	0	0	0	0	other-engine-error	1
1607.01424	failed	not-run	0	0	0	0	0	0	0	0	terminal-read-eof	1
1910.12506	accepted	failed	1	127	127	1195	1195	2311014	4601607747	13853982683	none	0
2002.08666	guard-timeout-or-rss	not-run	0	0	0	0	0	0	0	0	guard-timeout-or-rss	124
2211.04558	accepted	complete	1	207	207	4953	4953	2917311	6446003921	16764847689	none	0
2001.09659	accepted	complete	1	97	97	4551	4551	1346904	4162648250	7794039321	none	0
2412.02819	failed	not-run	0	0	0	0	0	0	0	0	other-engine-error	1
2406.10388	accepted	complete	1	197	197	4807	4723	3438032	4991789136	25437574406	none	0
2408.08969	failed	not-run	0	0	0	0	0	0	0	0	other-engine-error	1
1803.06913	accepted	complete	1	212	212	10830	10830	2297479	5051066879	13515409050	none	0
2308.00992	accepted	complete	1	102	102	2124	2124	960515	2748664290	5846698765	none	0
1402.7313	accepted	complete	1	107	107	2057	2057	1291627	2954760670	7985097889	none	0
2502.08039	failed	not-run	0	0	0	0	0	0	0	0	other-engine-error	1
2303.11292	accepted	complete	1	185	185	5183	5183	3637964	5664311876	21768463562	none	0
2508.02487	accepted	complete	1	159	159	4893	4893	2580924	5308791588	15417551401	none	0
2601.15540	guard-timeout-or-rss	not-run	0	0	0	0	0	0	0	0	guard-timeout-or-rss	124
2304.07531	failed	not-run	0	0	0	0	0	0	0	0	other-engine-error	1
2109.04844	accepted	failed	1	143	143	5070	5070	2541082	4973673127	15080342902	none	0
2603.26169	accepted	complete	1	118	118	1594	1594	2153683	4405521834	12376497306	none	0
1806.09227	accepted	failed	1	188	188	5156	5156	13870998	5600304792	48434198794	none	0
2509.26198	failed	not-run	0	0	0	0	0	0	0	0	other-engine-error	1
2303.03677	accepted	complete	1	102	102	2124	2124	1209993	3161514877	7579987047	none	0
cond-mat/0403603	accepted	failed	1	65	65	1083	1083	490429	3277399047	3029734155	none	0
2212.09995	accepted	failed	1	109	109	1999	1999	1517398	4008031038	9301426674	none	0
quant-ph/0401158	failed	not-run	0	0	0	0	0	0	0	0	terminal-read-eof	1
math/0410460	accepted	complete	1	54	54	810	810	675081	3339858378	3853224301	none	0
astro-ph/9806267	failed	not-run	0	0	0	0	0	0	0	0	terminal-read-eof	1
1109.6025	accepted	complete	1	118	118	1641	1641	1977925	4389807129	11443532417	none	0
2403.05325	accepted	complete	1	201	201	5696	5696	3766800	6364881712	21416057083	none	0
1710.06442	accepted	complete	1	154	154	2910	2910	2762024	4837821130	17093483768	none	0
1204.5690	accepted	complete	1	98	98	4983	4983	5431302	4364359913	27346436952	none	0
2504.13286	accepted	failed	1	153	153	2526	2526	4602600	5036090743	18041668620	none	0
2409.09687	failed	not-run	0	0	0	0	0	0	0	0	macro-parameter-token	1
2409.18194	accepted	complete	1	143	143	2328	2328	4356279	4786429078	24359267635	none	0
1510.06073	accepted	complete	1	125	125	1202	1202	2645132	4721219544	14900884971	none	0
2402.06118	accepted	complete	1	215	215	5710	5710	3889020	6224564051	22106278245	none	0
0809.4370	failed	not-run	0	0	0	0	0	0	0	0	terminal-read-eof	1
1905.03736	accepted	complete	1	54	54	875	875	1022982	3083166958	6168677623	none	0
1309.6552	accepted	complete	1	56	56	828	828	866537	3219171209	4914791193	none	0
1505.01466	failed	not-run	0	0	0	0	0	0	0	0	other-engine-error	1
cond-mat/0604100	accepted	complete	1	76	76	2071	2071	656448	3090518203	4402238974	none	0
0906.4556	accepted	guard-timeout-or-rss	1	234	234	9524	9524	1859177	5933080536	16230624833	none	0
2302.02138	accepted	complete	1	108	108	992	992	1515837	4050755508	8205563023	none	0
2402.03856	accepted	complete	1	154	154	3836	3836	2885145	4310577253	15919560897	none	0
2106.16088	failed	not-run	0	0	0	0	0	0	0	0	other-engine-error	1
1201.0674	accepted	complete	1	75	75	1278	1278	676229	3180007836	4336294059	none	0
0708.1003	accepted	complete	1	50	50	641	641	546812	3058815169	3741930830	none	0
2406.18174	accepted	failed	1	64	64	744	744	618294	3387542916	3187601099	none	0
2012.14835	failed	not-run	0	0	0	0	0	0	0	0	other-engine-error	1
math/0405422	accepted	failed	1	149	149	4819	4819	4046230	4748833501	17775172144	none	0
1512.00596	accepted	complete	1	245	245	8363	8363	4983916	4344908136	42197636137	none	0
1110.5194	accepted	complete	1	86	86	2160	2160	864621	3480431034	5518288436	none	0
2512.01214	accepted	guard-timeout-or-rss	1	168	168	2250	2250	10394420	5173572416	71945007285	none	0
1901.02462	accepted	failed	1	82	82	1602	1602	1015315	3402752998	6318108760	none	0
2509.16342	accepted	complete	1	186	186	7274	6970	2498019	5578707424	15208447967	none	0
astro-ph/0701678	accepted	complete	1	102	102	5214	3848	639950	3701077039	4448691992	none	0
0903.3324	accepted	complete	1	56	56	1617	1236	488545	2963669585	2811539330	none	0
1512.07679	accepted	complete	1	162	162	2735	2735	2126500	4997161158	12355446561	none	0
2008.00342	accepted	complete	1	40	40	405	405	639645	2393929419	4077524544	none	0
2404.08501	accepted	complete	1	189	189	5288	5288	5255735	5310788507	25573979081	none	0
2404.06754	accepted	complete	1	131	131	1466	1466	2099600	4872517170	11223193695	none	0
cond-mat/9906328	accepted	complete	1	46	46	2724	2536	427443	2572498211	2150637452	none	0
2302.05666	failed	not-run	0	0	0	0	0	0	0	0	macro-parameter-token	1
2309.07749	guard-timeout-or-rss	not-run	0	0	0	0	0	0	0	0	guard-timeout-or-rss	124
nucl-th/0508048	accepted	complete	1	101	101	3019	3019	867906	3560545833	5288217713	none	0
2509.15093	accepted	failed	1	85	85	1368	1368	1108078	3819960623	6019897424	none	0
2311.03407	accepted	complete	1	93	93	1315	1315	2007643	4232289583	10584638273	none	0
2509.18247	failed	not-run	0	0	0	0	0	0	0	0	macro-parameter-token	1
2512.18767	accepted	complete	1	127	127	3264	3264	1551525	4707598619	9123216512	none	0
2210.17134	accepted	failed	1	234	234	12659	12659	18366361	6701008540	92503635237	none	0
hep-ph/0604209	failed	not-run	0	0	0	0	0	0	0	0	terminal-read-eof	1
2508.17913	accepted	complete	1	126	126	5335	4631	4615574	4701852997	20650952455	none	0
1706.07482	failed	not-run	0	0	0	0	0	0	0	0	terminal-read-eof	1
1605.00321	guard-timeout-or-rss	not-run	0	0	0	0	0	0	0	0	guard-timeout-or-rss	124
2208.12264	accepted	complete	1	154	154	2677	2677	6669772	4590951505	45383551909	none	0
1501.07105	accepted	complete	1	158	158	5900	5900	2117491	3897179248	18196186987	none	0
2303.07483	accepted	complete	1	156	156	2857	2857	4509983	5318050456	26165010051	none	0
2007.04915	guard-timeout-or-rss	not-run	0	0	0	0	0	0	0	0	guard-timeout-or-rss	124
2306.06689	accepted	failed	1	97	97	1698	1698	1671056	3760300129	8193146049	none	0
1911.07270	accepted	complete	1	137	137	1885	1885	2103114	4883107454	12603025569	none	0
2411.08642	guard-timeout-or-rss	not-run	0	0	0	0	0	0	0	0	guard-timeout-or-rss	124
1806.00133	failed	not-run	0	0	0	0	0	0	0	0	other-engine-error	1
2108.07198	accepted	complete	1	152	152	6609	6609	1462862	5560732494	9148980967	none	0
2209.03095	accepted	complete	1	128	128	2804	2804	2351203	4457686171	15210242041	none	0
1209.1157	accepted	complete	1	113	113	3649	3649	913298	4247161372	6576460402	none	0
2606.13617	accepted	failed	1	112	112	1361	1361	1597347	4476661625	9594670032	none	0
2008.12745	failed	not-run	0	0	0	0	0	0	0	0	other-engine-error	1
2405.07680	failed	not-run	0	0	0	0	0	0	0	0	other-engine-error	250
1111.4238	failed	not-run	0	0	0	0	0	0	0	0	other-engine-error	1
1910.14440	accepted	failed	1	240	240	7095	7095	6485386	6966301502	40888555196	none	0
1903.09682	accepted	failed	1	252	252	9052	9052	5362912	6967312334	32772911093	none	0
1307.4678	failed	not-run	0	0	0	0	0	0	0	0	other-engine-error	1
2301.10807	guard-timeout-or-rss	not-run	0	0	0	0	0	0	0	0	guard-timeout-or-rss	124
